,Fecha,Región,Generación Neta MW,Demanda Neta MW,Diferencia MW
0,02-08-2023 00_46_06,Baja California,2419.0,2445.0,-26.0
1,02-08-2023 00_46_06,Baja California Sur,593.0,582.0,11.0
2,02-08-2023 00_46_06,CENTRAL,3913.0,5876.0,-1963.0
3,02-08-2023 00_46_06,NORESTE,12425.0,9887.0,2538.0
4,02-08-2023 00_46_06,NOROESTE,4779.0,4748.0,31.0
5,02-08-2023 00_46_06,NORTE,4143.0,4408.0,-265.0
6,02-08-2023 00_46_06,OCCIDENTAL,6115.0,8805.0,-2690.0
7,02-08-2023 00_46_06,ORIENTAL,10042.0,6865.0,3177.0
8,02-08-2023 00_46_06,PENINSULAR,1343.0,2219.0,-876.0
9,02-08-2023 00_46_06,S.I. NACIONAL,42766.0,42816.0,-50.0
10,02-08-2023 01_24_21,Baja California,2265.0,2386.0,-121.0
11,02-08-2023 01_24_21,Baja California Sur,578.0,568.0,10.0
12,02-08-2023 01_24_21,CENTRAL,4238.0,5945.0,-1707.0
13,02-08-2023 01_24_21,NORESTE,12682.0,9729.0,2953.0
14,02-08-2023 01_24_21,NOROESTE,4734.0,4603.0,131.0
15,02-08-2023 01_24_21,NORTE,4112.0,4366.0,-254.0
16,02-08-2023 01_24_21,OCCIDENTAL,6013.0,8617.0,-2604.0
17,02-08-2023 01_24_21,ORIENTAL,8996.0,6834.0,2162.0
18,02-08-2023 01_24_21,PENINSULAR,1333.0,2152.0,-819.0
19,02-08-2023 01_24_21,S.I. NACIONAL,42107.0,42248.0,-141.0
20,02-08-2023 09_26_50,Baja California,2398.0,2423.0,-25.0
21,02-08-2023 09_26_50,Baja California Sur,515.0,499.0,16.0
22,02-08-2023 09_26_50,CENTRAL,3715.0,6954.0,-3239.0
23,02-08-2023 09_26_50,NORESTE,10301.0,9115.0,1186.0
24,02-08-2023 09_26_50,NOROESTE,4532.0,4017.0,515.0
25,02-08-2023 09_26_50,NORTE,5513.0,4558.0,955.0
26,02-08-2023 09_26_50,OCCIDENTAL,7549.0,9532.0,-1983.0
27,02-08-2023 09_26_50,ORIENTAL,9829.0,6411.0,3418.0
28,02-08-2023 09_26_50,PENINSULAR,1471.0,2016.0,-545.0
29,02-08-2023 09_26_50,S.I. NACIONAL,42914.0,42621.0,293.0
30,02-08-2023 11_03_28,Baja California,2495.0,2638.0,-143.0
31,02-08-2023 11_03_28,Baja California Sur,550.0,536.0,14.0
32,02-08-2023 11_03_28,CENTRAL,3762.0,7150.0,-3388.0
33,02-08-2023 11_03_28,NORESTE,11154.0,9362.0,1792.0
34,02-08-2023 11_03_28,NOROESTE,4576.0,4331.0,245.0
35,02-08-2023 11_03_28,NORTE,5832.0,4659.0,1173.0
36,02-08-2023 11_03_28,OCCIDENTAL,7639.0,9702.0,-2063.0
37,02-08-2023 11_03_28,ORIENTAL,9890.0,6848.0,3042.0
38,02-08-2023 11_03_28,PENINSULAR,1512.0,2047.0,-535.0
39,02-08-2023 11_03_28,S.I. NACIONAL,44366.0,44101.0,265.0
40,02-08-2023 12_00_27,Baja California,2650.0,2752.0,-102.0
41,02-08-2023 12_00_27,Baja California Sur,570.0,550.0,20.0
42,02-08-2023 12_00_27,CENTRAL,3789.0,7516.0,-3727.0
43,02-08-2023 12_00_27,NORESTE,11478.0,9619.0,1859.0
44,02-08-2023 12_00_27,NOROESTE,4718.0,4529.0,189.0
45,02-08-2023 12_00_27,NORTE,5912.0,4730.0,1182.0
46,02-08-2023 12_00_27,OCCIDENTAL,7542.0,9778.0,-2236.0
47,02-08-2023 12_00_27,ORIENTAL,10428.0,6942.0,3486.0
48,02-08-2023 12_00_27,PENINSULAR,1610.0,2082.0,-472.0
49,02-08-2023 12_00_27,S.I. NACIONAL,45478.0,45196.0,282.0
50,03-08-2023 18_04_16,Baja California,2514.0,3043.0,-529.0
51,03-08-2023 18_04_16,Baja California Sur,656.0,639.0,17.0
52,03-08-2023 18_04_16,CENTRAL,5188.0,7476.0,-2288.0
53,03-08-2023 18_04_16,NORESTE,13669.0,10024.0,3645.0
54,03-08-2023 18_04_16,NOROESTE,5520.0,5536.0,-16.0
55,03-08-2023 18_04_16,NORTE,5329.0,4936.0,393.0
56,03-08-2023 18_04_16,OCCIDENTAL,7271.0,10028.0,-2757.0
57,03-08-2023 18_04_16,ORIENTAL,9075.0,6821.0,2254.0
58,03-08-2023 18_04_16,PENINSULAR,1251.0,2161.0,-910.0
59,03-08-2023 18_04_16,S.I. NACIONAL,47308.0,46973.0,335.0
60,04-08-2023 19_10_49,Baja California,2374.0,2707.0,-333.0
61,04-08-2023 19_10_49,Baja California Sur,578.0,569.0,9.0
62,04-08-2023 19_10_49,CENTRAL,5497.0,7699.0,-2202.0
63,04-08-2023 19_10_49,NORESTE,13312.0,9705.0,3607.0
64,04-08-2023 19_10_49,NOROESTE,5120.0,5230.0,-110.0
65,04-08-2023 19_10_49,NORTE,4248.0,4924.0,-676.0
66,04-08-2023 19_10_49,OCCIDENTAL,7954.0,9364.0,-1410.0
67,04-08-2023 19_10_49,ORIENTAL,9339.0,7433.0,1906.0
68,04-08-2023 19_10_49,PENINSULAR,1407.0,2280.0,-873.0
69,04-08-2023 19_10_49,S.I. NACIONAL,46875.0,46650.0,225.0
70,04-08-2023 20_03_16,Baja California,2382.0,2658.0,-276.0
71,04-08-2023 20_03_16,Baja California Sur,554.0,543.0,11.0
72,04-08-2023 20_03_16,CENTRAL,5631.0,7840.0,-2209.0
73,04-08-2023 20_03_16,NORESTE,13417.0,9875.0,3542.0
74,04-08-2023 20_03_16,NOROESTE,4724.0,5097.0,-373.0
75,04-08-2023 20_03_16,NORTE,4086.0,4930.0,-844.0
76,04-08-2023 20_03_16,OCCIDENTAL,7991.0,9573.0,-1582.0
77,04-08-2023 20_03_16,ORIENTAL,10136.0,7621.0,2515.0
78,04-08-2023 20_03_16,PENINSULAR,1416.0,2288.0,-872.0
79,04-08-2023 20_03_16,S.I. NACIONAL,47402.0,47204.0,198.0
80,04-08-2023 21_11_35,Baja California,2383.0,2615.0,-232.0
81,04-08-2023 21_11_35,Baja California Sur,578.0,563.0,15.0
82,04-08-2023 21_11_35,CENTRAL,5652.0,7793.0,-2141.0
83,04-08-2023 21_11_35,NORESTE,13399.0,9880.0,3519.0
84,04-08-2023 21_11_35,NOROESTE,4732.0,5220.0,-488.0
85,04-08-2023 21_11_35,NORTE,4196.0,4959.0,-763.0
86,04-08-2023 21_11_35,OCCIDENTAL,7489.0,9575.0,-2086.0
87,04-08-2023 21_11_35,ORIENTAL,10282.0,7546.0,2736.0
88,04-08-2023 21_11_35,PENINSULAR,1464.0,2330.0,-866.0
89,04-08-2023 21_11_35,S.I. NACIONAL,47216.0,47302.0,-86.0
